流す行,発話者,立ち絵,テキスト,場所,
1,Player,Normal,,Left,
1,Riska,Surprised,ゴゴゴゴゴゴゴゴゴゴゴオオオオオ（扉が開く音）,Right,
2,Riska,Surprised,,Right,
2,Player,Suspicious,セルフSE…,Left,
3,Riska,Surprised,,Right,
3,Player,Suspicious,これからボスと戦うっていうのに、まるで緊張感がない…,Left,
4,Riska,Normal,,Right,
4,Player,Conversation,んで、ここをくぐればボス部屋にワープするのね？,Left,
5,Player,Conversation,,Left,
5,Riska,Surprised,おお！またしてもものわかりがいい！,Right,
6,Riska,Surprised,,Right,
6,Player,Suspicious,まあ、この不思議空間では十分起こり得ることだし,Left,
7,Riska,Happy,,Right,
7,Player,Suspicious,だんだんこの世界にも慣れてきたのかも、あまり嬉しくない成長だなぁ…,Left,
8,Player,Suspicious,,Left,
8,Riska,Normal,ほらっ！さっさと倒そうよ!カンッ！ってやってボンってなって…,Right,
9,Player,Normal,,Left,
9,Riska,Surprised,ポロってなってガシッ！ギュンッ！ドンッ！てやったら勝てるよ！,Right,
10,Riska,Surprised,,Right,
10,Player,Suspicious,こいつ…！簡単に言う…！,Left,
11,Riska,Normal,,Right,
11,Player,Suspicious,怖がる私を励ましているのか、本当に簡単な相手なのか…,Left,
12,Riska,Normal,,Right,
12,Player,Conversation,でもこいつのことだから何かしらの策があるのかも？,Left,
13,Riska,Normal,,Right,
13,Player,Normal,とりあえずやってみないことにはわからない、今はもう行くしかない！,Left,
14,Riska,Normal,,Right,
14,Player,Normal,さっさと家に帰るんだ…！,Left,
15,Riska,Sad,,Right,
15,Player,Normal,よ～しっ！,Left,
