流す行,発話者,立ち絵,テキスト,場所,
1,Riska,Normal,あ,Right,
1,Player,Suspicious,はあ…はあ…,Left,
2,Riska,Normal,あ,Right,
2,Player,Suspicious,疲れた…空想の世界とはいえ日頃の運動不足の全部は補えないな…,Left,
3,Player,Suspicious,あ,Left,
3,Riska,Normal,ん〜なるほどぉ…,Right,
4,Riska,Normal,あ,Right,
4,Player,Suspicious,今度は何？,Left,
5,Player,Suspicious,あ,Left,
5,Riska,Surprised,この人の記憶だよ、君が拾った記憶の欠片によって新たな情報が手に入ったんだ,Right,
6,Player,Suspicious,あ,Left,
6,Riska,Normal,この人、小島シンイチは面接を受けた後採用、晴れてサーカス団の一員となったようだ,Right,
7,Riska,Normal,あ,Right,
7,Player,Normal,ふーん、よかったじゃない,Left,
8,Player,Normal,あ,Left,
8,Riska,Surprised,問題はここからだ,Right,
9,Player,Normal,あ,Left,
9,Riska,Normal,採用されたとは言え、小島の実力なんて初戦憧れただけの子供、最初の2、3回の公演でミスを連発,Right,
10,Player,Normal,あ,Left,
10,Riska,Surprised,お客さんからもチーム内からも笑われ役としてのイメージが定着してしまい、彼はみんなが望む姿、“失敗して笑われる姿”を演じるしかなかった,Right,
11,Player,Normal,あ,Left,
11,Riska,Normal,「もっと成長したい」だとか、「もっと練習して上手くなりたい」だとか」「それは彼にとって無駄なものとなってしまったわけだ。,Right,
12,Player,Normal,あ,Left,
12,Riska,Surprised,いかに失敗するか、いかにカッコ悪くなるか、彼は努力の方向を変えざるを得なかった,Right,
13,Player,Normal,あ,Left,
13,Riska,Normal,内心では輝きたい自分と、みんなの期待に応えるため醜い道化を演じるしかない自分,Right,
14,Player,Normal,あ,Left,
14,Riska,Surprised,ピエロのお面を2重にかけた何ともかわいそうな道化だね,Right,
15,Player,Normal,あ,Left,
15,Riska,Surprised,そんな二律背反を抱えた結果、彼はヤミに取り憑かれてしまったみたいだ。,Right,
16,Player,Normal,あ,Left,
16,Riska,Normal,ま、元よりヤミを生み出したのも彼自身なのだがね,Right,
17,Riska,Normal,あ,Right,
17,Player,Conversation,それがこの人の悩み…,Left,
18,Riska,Normal,あ,Right,
18,Player,Conversation,人の悩みは実際に見てみないとわからないんだなぁ,Left,
19,Riska,Normal,あ,Right,
19,Player,Suspicious,結構優しそうな人だったのに、こんな過去があったなんて,Left,
20,Player,Normal,あ,Left,
20,Riska,Surprised,将来の選択っていうのは社会に生きる人間の凄く贅沢な悩みだ、なんだって選べるし何にだってなれる,Right,
21,Player,Suspicious,あ,Left,
21,Riska,Normal,ただそれは永遠じゃない、時が経つにつれ選択肢が減っていき、気づいた頃には与えられたことしかできなくなるんだ,Right,
22,Player,Normal,あ,Left,
22,Riska,Normal,自分のやりたいことなんて周りの期待の前ではひた隠すしかない,Right,
23,Player,Normal,あ,Left,
23,Riska,Surprised,自由を約束されているのは子供の頃まで、あとはただひたすら型に収まったタスクとルーティンの繰り返し、ただの1日を繰り返すだけ,Right,
24,Player,Normal,あ,Left,
24,Riska,Surprised,焦った結果、一度安定してしまった役割に執着し、可能性を広げることを忘れてしまう,Right,
25,Player,Normal,あ,Left,
25,Riska,Surprised,誰もそうなりたいなんて望んでなかったのに、時計は知らない顔で針を回すのさ,Right,
26,Player,Normal,あ,Left,
26,Riska,Normal,う〜ん、可哀想だねぇ悲しそうだねぇ,Right,
