流す行,発話者,立ち絵,テキスト,場所,
1,Riska,Normal,あ,Right,
1,Player,Surprised,なに…これ…？,Left,
2,Riska,Normal,あ,Right,
2,Player,Surprised,（なに？この世界、遊園地？でもなんかよくある遊園地とはまるで雰囲気が違う。）,Left,
3,Riska,Normal,あ,Right,
3,Player,Suspicious,ここが深層心理の世界？,Left,
4,Riska,Surprised,あ,Right,
4,Player,Normal,そう！まさしくここがマイン・ド・ダイブの世界！その人の深層心理そのものだ！,Left,
5,Riska,Normal,あ,Right,
5,Player,Normal,いやぁ、案外呑み込みが早いねぇ～！,Left,
6,Player,Suspicious,ｓ,Left,
6,Riska,Surprised,（今更否定することもできないし…）,Right,
7,Player,Normal,ｓ,Left,
7,Riska,Surprised,（ここで味わう体験の全てが現実世界と差異のない圧倒的なリアル）,Right,
8,Riska,Normal,あ,Right,
8,Player,Normal,（だとすれば私はどうすればいいの？今更後戻りは…）,Left,
9,Riska,Normal,あ,Right,
9,Player,Normal,（できないだろうな…）,Left,
10,Riska,Angry,あ,Right,
10,Player,Normal,（見たまんまの出口なんてないだろうし、多分この人形が許さない）,Left,
11,Player,Normal,あ,Left,
11,Riska,Normal,うん、そうだね,Right,
12,Player,Normal,あ,Left,
12,Riska,Normal,確かにここには帰ろうと思って帰れる出口なんてないし、僕もそれを止めるだろうね,Right,
13,Player,Normal,あ,Left,
13,Riska,Surprised,どれだけ探してもないものを探したって時間の無駄だし、消耗しきった体力では怪物に襲われたらひとたまりもないないだろうね,Right,
14,Riska,Normal,あ,Right,
14,Player,Conversation,そうなった場合は…,Left,
15,Riska,Normal,あ,Right,
15,Player,Suspicious,（考えたくない、やめておこう）,Left,
16,Player,Suspicious,あ,Left,
16,Riska,Normal,とにかく、帰りたければ進むしかないんだ,Right,
17,Player,Suspicious,あ,Left,
17,Riska,Surprised,どれだけ帰りたくても、進める道は前にしかないからね,Right,
18,Riska,Suspicious,あ,Right,
18,Player,Suspicious,（なにその超前向きな言葉、当たり前ながらやけに響くなぁ）,Left,
19,Player,Suspicious,あ,Left,
